 ;;LAPORAN PENJUALAN DETAIL;;;;;;PERIODE : 01/07/26 - 31/07/26;;;;
;;INSPIRASI MEDIA KREATIF;;;;;;;;;;
;;;;;;;;;;;;
;;JL. TUKAD BATANGHARI XI NO 2;;;;;;;;;;
;;0361-4783465;;;;;;;;;;
;;-;;;;;;;;;;
 ;;;;;;;;;;;;
No Transaksi;;Tanggal;;Dept.;Kode Pel.;Nama Pelanggan;;;Alamat;;;
 ;;;;;;;;;;;;
 ;;;;;;;;;;;;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;519.000;;
 ;;;;;;;;;;;;
JL-0011454-26;;03/07/2026;;;PL6872;LISTIANI TJAHYANINGDIAH;;;KOMP BLK NO. 5 RT 009-001 SUSUKAN CIRACAS JAKARTA TIMUR DKI JAKARTA;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;TARO CAT LITTER 25 L;TARO CAT LITTER 25 L;;;;;7;PCS;92.000;0;644.000;
;;;;;; ;;;;;;
;;;;;;;7;;;;644.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;644.000;;
 ;;;;;;;;;;;;
JL-0011458-26;;03/07/2026;;;PL7083;ELSY PURWITASARI;;;SMA 58 CIRACAS NO.10 (DEKET KELURAHAN CICARAS SAMPING INDOMARET)  ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;PASIR BOSSCAT 25 L;PASIR BOSS CAT 25 L;;;;;1;PCS;90.000;0;90.000;
;;;;;; ;;;;;;
;;;;;;;1;;;;90.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;90.000;;
 ;;;;;;;;;;;;
JL-0011460-26;;03/07/2026;;;PL5500;DZUL FACHRY AZHARY;;;JL. TAPOS RAYA CIMPAEUN, KEC. TAPOS (PERMATA PANCING)  ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;CAT CHOIZE TUNA 20KG;CAT CHOIZE TUNA 20KG;;;;;2;SAK;417.000;0;834.000;
2;CAT CHOIZE SALMON 20KG;CAT CHOIZE SALMON 20KG;;;;;2;SAK;417.000;0;834.000;
3;FELIBITE 500 GR I (SAK);FELIBITE 500 GR IKAN (SAK);;;;;1;SAK;440.500;0;440.500;
4;MISTER PUSS TUNA 20KG;MISTER PUSS TUNA 20KG;;;;;2;SAK;380.000;0;760.000;
5;MISTER PUSS SALMON 20KG;MISTER PUSS SALMON 20KG;;;;;2;SAK;380.000;0;760.000;
6;EXCEL CAT 20 KG M&K;EXCEL CAT 20 KG MOTHER & KITTEN;;;;;1;SAK;465.000;0;465.000;
7;PASIR SPS (ALL VARIANT);PASIR ZEOLITE;;;;;3;SAK;20.000;0;60.000;
8;LEZATO TUNA 20KG;LEZATO TUNA 20KG;;;;;1;SAK;396.000;0;396.000;
;;;;;; ;;;;;;
;;;;;;;14;;;;4.549.500;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;4.549.500;;
 ;;;;;;;;;;;;
